mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17.10005195935567,0.16039189302246448,0.03307016690572103,0.001916274487533692,gini,,1,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6961565981805172,0.718951241950322,0.7429725033220893,0.7193601144843095,0.019114699860194085,1
16.801687240600586,0.6088148642239247,0.03303066889444987,0.002240248348737032,gini,,1,3,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3}",0.6951855259122969,0.7175712971481141,0.7408770315854033,0.7178779515486048,0.018654739350629453,2
16.766028722127277,0.055550216763793306,0.032824198404947914,0.0013996743625212765,gini,,1,4,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.6947255443115609,0.7157824798119187,0.7394459777164469,0.7166513339466422,0.018267374772360005,3
14.571495771408081,0.40920618353918936,0.032267252604166664,0.0023580519174232215,gini,,2,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6720842277420014,0.6922723091076357,0.7132270264744965,0.6925278544413779,0.016797449200178168,4
14.454338630040487,0.21777296550534112,0.03316275278727213,0.0014943732844868074,gini,,2,3,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 3}",0.6713687008075232,0.6921189819073904,0.7138403352754779,0.6924426726634638,0.017340482795548378,5
14.492121378580729,0.2628743982699465,0.03260032335917155,0.0018983055589013712,gini,,2,4,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4}",0.6707042829397936,0.6912501277726669,0.7128181539405091,0.6915908548843231,0.01719460388008769,6
12.843985001246134,0.05673916612233735,0.03197932243347168,0.0016880144619094474,gini,,3,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.6701420832055607,0.6899724011039559,0.7091383011346213,0.6897509284813793,0.015920909538185105,7
12.826688687006632,0.2025438520866693,0.03165030479431152,0.0022082193481029622,gini,,3,3,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 3}",0.6680466114688746,0.6892057651027292,0.7065828477971993,0.6879450747896011,0.015757588280726518,9
13.111966927846273,0.06953473775120428,0.031374454498291016,0.0017329824707335245,gini,,3,4,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 4}",0.6694265562710825,0.6895635285699683,0.706327302463457,0.6884391291015026,0.01508563274580651,8
2.2294467290242515,0.07153909377701442,0.02486729621887207,0.0024565136472383692,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.16886435653684964,0.17371971787795154,0.17336195441071245,0.17198200960850454,0.002209346687903036,100
2.2570157051086426,0.13654878715183827,0.02551436424255371,0.002059814771833561,gini,5,1,3,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 3}",0.16860881120310744,0.17361749974445467,0.17336195441071245,0.17186275511942486,0.002303249749419817,108
2.2316198348999023,0.07451482673687582,0.024967352549235027,0.0026856207894807973,gini,5,1,4,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.16891546560359808,0.17361749974445467,0.17336195441071245,0.17196497325292173,0.002158849775823842,101
2.1742387612660727,0.057042124928686204,0.024942318598429363,0.0023879815430485497,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.1688132474701012,0.1736686088112031,0.17336195441071245,0.17194793689733892,0.0022200927284330564,102
2.1206301053365073,0.08579991502728646,0.024614890416463215,0.0021066572319264573,gini,5,2,3,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 3}",0.1688132474701012,0.1736686088112031,0.17320862721046715,0.1718968278305905,0.0021884921213703745,106
2.125197649002075,0.07548018223684536,0.024825652440388996,0.0020378517124363723,gini,5,2,4,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 4}",0.1687110293366043,0.1736686088112031,0.17336195441071245,0.17191386418617327,0.0022682037732598337,104
2.117057720820109,0.06966106798559096,0.024545749028523762,0.002079271463894666,gini,5,3,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.1688132474701012,0.17351528161095778,0.17336195441071245,0.1718968278305905,0.002181318895726486,106
2.115337371826172,0.08473877037319451,0.025200366973876953,0.0022674566125617706,gini,5,3,3,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 3}",0.1688132474701012,0.1735663906777062,0.17336195441071245,0.17191386418617327,0.0021940550831439642,104
2.1048099199930825,0.08348240685121498,0.024615764617919922,0.002279460747315579,gini,5,3,4,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 4}",0.16886435653684964,0.1735663906777062,0.17336195441071245,0.1719309005417561,0.0021699796692344676,103
2.8732618490854898,0.07366821573688538,0.02484917640686035,0.002270161341077044,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.242819176121844,0.25574977000919963,0.2544209342737402,0.2509966268015946,0.005807723353017296,74
