,precision,recall,f1-score,support
10,0.4125874125874126,0.4820261437908497,0.4446119065561417,612.0
40,0.49612403100775193,0.3685220729366603,0.42290748898678415,521.0
50,0.85,0.14285714285714285,0.24460431654676254,357.0
60,0.5955056179775281,0.32919254658385094,0.42400000000000004,161.0
1140,0.43544857768052514,0.3692022263450835,0.39959839357429716,539.0
1160,0.7235576923076923,0.7659033078880407,0.7441285537700865,786.0
1180,0.7647058823529411,0.08904109589041095,0.15950920245398773,146.0
1280,0.2553846153846154,0.17273673257023933,0.20608317815021726,961.0
1281,0.38235294117647056,0.030660377358490566,0.056768558951965066,424.0
1300,0.38552036199095024,0.43737166324435317,0.40981240981240985,974.0
1301,0.9245283018867925,0.28994082840236685,0.4414414414414415,169.0
1302,0.592,0.14595660749506903,0.23417721518987342,507.0
1320,0.5305164319248826,0.16815476190476192,0.25536723163841807,672.0
1560,0.35012185215272135,0.42546890424481737,0.3841354723707665,1013.0
1920,0.6896969696969697,0.6765755053507729,0.6830732292917168,841.0
1940,0.8125,0.0948905109489051,0.1699346405228758,137.0
2060,0.32411575562700967,0.4897959183673469,0.39009287925696595,1029.0
2220,1.0,0.052941176470588235,0.10055865921787709,170.0
2280,0.4639175257731959,0.7165605095541401,0.5632040050062578,942.0
2403,0.37184115523465705,0.6267748478701826,0.46676737160120846,986.0
2462,0.44144144144144143,0.16013071895424835,0.23501199040767382,306.0
2522,0.641860465116279,0.557013118062563,0.5964343598055105,991.0
2582,0.71,0.15367965367965367,0.25266903914590744,462.0
2583,0.4876944837340877,0.8422081094284318,0.6176997491938373,2047.0
2585,0.8492063492063492,0.2038095238095238,0.32872503840245776,525.0
2705,0.6514886164623468,0.7195357833655706,0.6838235294117648,517.0
2905,0.8848167539267016,0.8941798941798942,0.8894736842105264,189.0
accuracy,0.4774493641073952,0.4774493641073952,0.4774493641073952,0.4774493641073952
macro avg,0.5935901198018269,0.3853751733908873,0.4001708720339901,16984.0
weighted avg,0.5194227945815113,0.4774493641073952,0.4470273211137431,16984.0
