,precision,recall,f1-score,support
10,0.9199810606060606,0.9666666666666667,0.9427462396894711,2010.0
40,0.96484375,0.9753208292201382,0.9700540009818359,2026.0
50,0.9936055090998525,0.9955643173977329,0.9945839487936976,2029.0
60,0.9937258687258688,1.0,0.9968530622125393,2059.0
1140,0.9272813688212928,0.9740389415876186,0.9500852203554907,2003.0
1160,0.9718379446640316,0.9553181155900923,0.9635072250795983,2059.0
1180,0.9975062344139651,1.0,0.9987515605493134,2000.0
1280,0.8810958904109589,0.8162436548223351,0.8474308300395258,1970.0
1281,0.9783018867924528,0.9876190476190476,0.9829383886255924,2100.0
1300,0.8926208651399491,0.8356360171510243,0.8631889763779528,2099.0
1301,0.9980009995002499,1.0,0.9989994997498749,1997.0
1302,0.9654683065279092,0.9700570342205324,0.9677572309151257,2104.0
1320,0.9605063291139241,0.9381800197823936,0.9492119089316987,2022.0
1560,0.8357487922705314,0.8517971442639094,0.8436966593513778,2031.0
1920,0.9410618606916707,0.9447432762836185,0.9428989751098096,2045.0
1940,0.9904534606205251,1.0,0.9952038369304557,2075.0
2060,0.8183897529734675,0.8584452975047985,0.8379391100702576,2084.0
2220,0.9980430528375733,1.0,0.999020568070519,2040.0
2280,0.9033816425120773,0.9262010896483408,0.9146490584494986,2019.0
2403,0.8675400291120815,0.8948948948948949,0.8810051736881004,1998.0
2462,0.9830028328611898,0.9985611510791367,0.9907209136331192,2085.0
2522,0.9276511397423192,0.8948374760994264,0.9109489051094892,2092.0
2582,0.9744872436218109,0.9706028898854011,0.9725411882176737,2007.0
2583,0.8253968253968254,0.7424913835548991,0.7817522032141007,2031.0
2585,0.9863680623174295,0.972168905950096,0.9792170130497826,2084.0
2705,0.9587578845220767,0.988988988988989,0.9736388272973638,1998.0
2905,0.9937349397590362,1.0,0.9968576262992506,2062.0
accuracy,0.9429701246168078,0.9429701246168078,0.9429701246168078,0.9429701246168078
macro avg,0.9425479086316715,0.9429028571189293,0.9424517833626858,55129.0
weighted avg,0.9426661569198973,0.9429701246168078,0.9425460434419032,55129.0
