mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
151.28186202049255,1.0513289563786048,1.844964599609375,0.15832503320201516,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9066754788489276,0.904277637033245,0.904898971839092,0.9041498392781567,0.9017074083511321,0.9043418670701108,0.001596087877930025,3
306.24970827102663,0.5551912310670548,4.463722181320191,0.16333460828499718,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9091194919523692,0.9072630286783052,0.9063677925228683,0.9068088606153553,0.9053157796305203,0.9069749906798836,0.0012514888495531362,2
151.9265588760376,1.1804694421606818,1.6765479564666748,0.1599056277768709,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9082723189091493,0.9050280490846829,0.9037496410332672,0.9026759244535153,0.9019717403003397,0.9043395347561909,0.002220939783198656,4
336.3614768028259,5.616664335277603,2.6084059715270995,0.23524170962248944,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.910217438352472,0.9075560784589128,0.9074093773013704,0.9053746189947836,0.9053959937187643,0.9071907013652606,0.0017811000582843588,1
84.57333269119263,8.419541206461735,0.47730064392089844,0.02082601583923612,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.5361159947135187,0.5287774805203788,0.5283136332796178,0.5253949568553954,0.5306657504790542,0.5298535631695929,0.003557701653230268,11
161.99390082359315,0.5845236667486181,0.8768715858459473,0.08699172709107472,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.5426160082540363,0.534738473980252,0.5364749972585565,0.5351262011878871,0.5362915379564407,0.5370494437274345,0.002861135913250241,9
81.26289262771607,0.2593026190210487,0.48927741050720214,0.031084401337559228,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5314888841708818,0.5287931876253122,0.5258081658408853,0.5247880203679368,0.5287612091877887,0.527927893438561,0.0023864556208398257,12
183.21086258888243,14.888241919757448,0.8505383968353272,0.0799207388139982,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.5419966838061434,0.5323883991228636,0.5338687803230238,0.531182256033562,0.5359952634756621,0.5350862765522509,0.0038100446596885623,10
141.01913776397706,0.9517677274479801,0.9268765926361084,0.06694974643847998,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.8998856940892646,0.8967876763617278,0.8961007511265696,0.8944603009468839,0.8933846936372776,0.8961238232323445,0.0022299346616615015,6
261.97929735183715,8.397193624025201,1.3136439800262452,0.1020753724020754,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9030434172507199,0.9002455642271222,0.8992811228333122,0.896950204315481,0.8957280387713865,0.8990496694796043,0.002564166168504571,5
135.59137482643126,0.4096283997871949,0.844556474685669,0.01749569777518282,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.8958910698528841,0.8930790064951427,0.8938066102654341,0.8908018202762157,0.8889939378349401,0.8925144889449232,0.002396542104207923,8
233.1216318130493,12.724059638897389,1.1793023586273192,0.04797477177155802,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.8966387442685704,0.8960806729739361,0.8967343783741718,0.8933982383880005,0.891684651427479,0.8949073370864316,0.0020186951003259733,7
